TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-'
DEN,DEN vs. UTA,08/08/2020,W,290,134,51,108,47.2,9,37,24.3,23,30,76.7,12,40,52,29,10,5,11,24,2
DAL,DAL vs. MIL,08/08/2020,W,265,136,48,115,41.7,17,53,32.1,23,25,92,11,43,54,37,6,2,7,26,4
WAS,WAS @ OKC,08/09/2020,L,240,103,38,92,41.3,9,36,25,18,22,81.8,13,31,44,23,6,3,16,18,-18
TOR,TOR vs. MEM,08/09/2020,W,240,108,34,71,47.9,15,39,38.5,25,33,75.8,5,35,40,25,17,7,26,23,9
SAS,SAS @ NOP,08/09/2020,W,240,122,40,89,44.9,11,28,39.3,31,32,96.9,15,36,51,22,12,6,17,27,9
SAC,SAC vs. HOU,08/09/2020,L,240,112,41,87,47.1,10,37,27,20,23,87,5,36,41,29,9,2,18,22,-17
POR,POR vs. PHI,08/09/2020,W,240,124,43,91,47.3,11,35,31.4,27,29,93.1,7,34,41,19,8,6,10,16,3
PHI,PHI @ POR,08/09/2020,L,240,121,47,97,48.5,14,30,46.7,13,17,76.5,14,34,48,24,6,3,15,23,-3
ORL,ORL @ BOS,08/09/2020,L,265,119,41,102,40.2,15,47,31.9,22,26,84.6,12,40,52,24,7,4,14,25,-3
OKC,OKC vs. WAS,08/09/2020,W,240,121,43,84,51.2,18,39,46.2,17,22,77.3,8,35,43,25,7,3,12,18,18
NOP,NOP vs. SAS,08/09/2020,L,240,113,42,96,43.8,12,30,40,17,22,77.3,16,32,48,30,5,5,20,26,-9
MEM,MEM @ TOR,08/09/2020,L,240,99,37,91,40.7,14,42,33.3,11,16,68.8,10,32,42,24,14,3,22,27,-9
LAC,LAC vs. BKN,08/09/2020,L,240,120,45,93,48.4,13,36,36.1,17,20,85,10,29,39,23,8,2,10,19,-9
HOU,HOU @ SAC,08/09/2020,W,240,129,43,91,47.3,18,57,31.6,25,30,83.3,8,40,48,21,9,3,15,18,17
BKN,BKN @ LAC,08/09/2020,W,240,129,47,85,55.3,20,43,46.5,15,19,78.9,8,38,46,32,5,5,16,25,9
BOS,BOS vs. ORL,08/09/2020,W,265,122,45,102,44.1,12,40,30,20,24,83.3,13,41,54,32,9,7,13,19,3
UTA,UTA vs. DAL,08/10/2020,L,240,114,39,82,47.6,21,46,45.7,15,20,75,11,27,38,28,5,6,12,19,-8
TOR,TOR @ MIL,08/10/2020,W,240,114,42,97,43.3,12,40,30,18,26,69.2,16,39,55,24,11,6,14,27,8
PHX,PHX vs. OKC,08/10/2020,W,240,128,42,89,47.2,17,34,50,27,29,93.1,12,41,53,29,11,7,20,23,27
OKC,OKC @ PHX,08/10/2020,L,240,101,35,90,38.9,13,39,33.3,18,21,85.7,8,32,40,24,10,2,19,23,-27
MIL,MIL vs. TOR,08/10/2020,L,240,106,33,84,39.3,14,43,32.6,26,35,74.3,11,38,49,25,4,6,19,21,-8
MIA,MIA vs. IND,08/10/2020,W,240,114,44,98,44.9,13,40,32.5,13,19,68.4,13,46,59,29,11,9,14,20,22
LAL,LAL vs. DEN,08/10/2020,W,240,124,44,81,54.3,14,29,48.3,22,32,68.8,14,18,32,28,8,4,10,18,3
IND,IND @ MIA,08/10/2020,L,240,92,33,84,39.3,10,35,28.6,16,25,64,6,39,45,20,5,4,17,19,-22
DEN,DEN @ LAL,08/10/2020,L,240,121,45,77,58.4,13,23,56.5,18,23,78.3,10,25,35,27,6,2,14,20,-3
DAL,DAL @ UTA,08/10/2020,W,240,122,48,85,56.5,12,24,50,14,16,87.5,4,30,34,29,6,3,8,23,8
WAS,WAS vs. MIL,08/11/2020,L,240,113,39,95,41.1,12,35,34.3,23,30,76.7,11,33,44,22,2,3,11,23,-13
SAS,SAS vs. HOU,08/11/2020,W,240,123,46,93,49.5,13,32,40.6,18,20,90,9,50,59,28,10,5,22,20,18
SAC,SAC vs. NOP,08/11/2020,W,240,112,43,88,48.9,11,26,42.3,15,16,93.8,14,31,45,27,4,6,21,22,6
POR,POR @ DAL,08/11/2020,W,240,134,46,98,46.9,15,38,39.5,27,29,93.1,12,36,48,18,9,3,8,31,3
PHX,PHX @ PHI,08/11/2020,W,240,130,49,89,55.1,12,28,42.9,20,21,95.2,11,33,44,28,4,3,7,18,13
PHI,PHI vs. PHX,08/11/2020,L,240,117,46,93,49.5,15,33,45.5,10,14,71.4,11,23,34,28,5,4,9,20,-13
ORL,ORL vs. BKN,08/11/2020,L,240,96,32,83,38.6,7,23,30.4,25,29,86.2,12,37,49,13,9,3,17,24,-12
NOP,NOP @ SAC,08/11/2020,L,240,106,42,82,51.2,7,24,29.2,15,19,78.9,5,29,34,25,8,6,19,18,-6
MIL,MIL @ WAS,08/11/2020,W,240,126,44,87,50.6,18,38,47.4,20,28,71.4,9,44,53,25,6,0,15,26,13
MEM,MEM vs. BOS,08/11/2020,L,240,107,35,89,39.3,7,29,24.1,30,38,78.9,14,30,44,26,8,4,8,15,-15
HOU,HOU @ SAS,08/11/2020,L,240,105,36,89,40.4,14,48,29.2,19,21,90.5,4,33,37,18,14,3,18,19,-18
DAL,DAL vs. POR,08/11/2020,L,240,131,42,81,51.9,20,44,45.5,27,33,81.8,5,32,37,28,4,5,17,23,-3
BKN,BKN @ ORL,08/11/2020,W,240,108,38,89,42.7,13,43,30.2,19,24,79.2,8,39,47,26,9,4,15,20,12
BOS,BOS @ MEM,08/11/2020,W,240,122,44,86,51.2,16,37,43.2,18,23,78.3,10,36,46,29,7,7,15,27,15
TOR,TOR @ PHI,08/12/2020,W,240,125,40,90,44.4,18,43,41.9,27,40,67.5,11,36,47,28,8,7,12,23,4
PHI,PHI vs. TOR,08/12/2020,L,240,121,39,84,46.4,17,40,42.5,26,33,78.8,9,38,47,27,9,10,17,29,-4
OKC,OKC vs. MIA,08/12/2020,W,240,116,39,89,43.8,16,42,38.1,22,27,81.5,14,36,50,20,7,4,16,19,1
MIA,MIA @ OKC,08/12/2020,L,240,115,42,86,48.8,14,42,33.3,17,20,85,6,34,40,24,14,2,12,23,-1
LAC,LAC @ DEN,08/12/2020,W,240,124,46,85,54.1,14,37,37.8,18,23,78.3,6,34,40,29,11,1,8,25,13
IND,IND @ HOU,08/12/2020,W,240,108,40,100,40,11,31,35.5,17,22,77.3,12,42,54,25,15,7,15,25,4
HOU,HOU vs. IND,08/12/2020,L,240,104,32,86,37.2,16,57,28.1,24,28,85.7,6,43,49,20,8,6,20,20,-4
DEN,DEN vs. LAC,08/12/2020,L,240,111,43,87,49.4,13,35,37.1,12,19,63.2,9,33,42,33,4,3,12,19,-13
WAS,WAS @ BOS,08/13/2020,W,240,96,34,88,38.6,10,26,38.5,18,24,75,18,38,56,22,11,6,18,19,6
UTA,UTA vs. SAS,08/13/2020,W,240,118,47,101,46.5,15,46,32.6,9,10,90,12,31,43,25,7,5,9,23,6
SAS,SAS @ UTA,08/13/2020,L,240,112,39,79,49.4,10,20,50,24,36,66.7,9,35,44,24,4,8,15,20,-6
SAC,SAC @ LAL,08/13/2020,W,240,136,54,95,56.8,21,47,44.7,7,12,58.3,9,35,44,37,12,2,15,15,14
POR,POR @ BKN,08/13/2020,W,240,134,50,104,48.1,13,39,33.3,21,24,87.5,14,28,42,25,10,4,9,21,1
PHX,PHX vs. DAL,08/13/2020,W,240,128,49,89,55.1,14,34,41.2,16,21,76.2,7,38,45,34,6,4,6,14,26
ORL,ORL vs. NOP,08/13/2020,W,240,133,48,84,57.1,15,28,53.6,22,30,73.3,6,27,33,25,6,2,12,22,6
NOP,NOP @ ORL,08/13/2020,L,240,127,48,87,55.2,10,34,29.4,21,27,77.8,9,31,40,22,6,4,13,22,-6
MIL,MIL @ MEM,08/13/2020,L,240,106,39,98,39.8,13,41,31.7,15,23,65.2,9,36,45,27,8,3,15,22,-13
MEM,MEM vs. MIL,08/13/2020,W,240,119,45,90,50,13,33,39.4,16,23,69.6,9,46,55,36,4,3,18,18,13
LAL,LAL vs. SAC,08/13/2020,L,240,122,48,98,49,15,35,42.9,11,15,73.3,15,32,47,29,6,1,17,18,-14
